lead_id,timeline_events_count,first_event,last_event
5072,3858,2025-05-29T00:00:00,2026-02-14T00:00:00
5075,2461,2025-07-28T00:00:00,2026-06-23T06:39:58.878421
5297,2113,2025-09-20T00:00:00,2026-05-18T00:00:00
5569,2026,2026-01-03T00:00:00,2026-06-23T06:40:23.256822
5614,2018,2026-02-23T00:00:00,2026-06-23T06:40:39.458280
5345,42,2025-09-25T00:00:00,2025-11-25T00:00:00
5607,34,2026-02-10T00:00:00,2026-02-10T00:00:00
5450,26,2025-10-11T00:00:00,2026-03-12T00:00:00
5353,25,2025-09-26T00:00:00,2026-05-18T00:00:00
5546,24,2025-11-10T00:00:00,2025-12-05T00:00:00
5321,22,2025-09-23T00:00:00,2025-11-17T00:00:00
5084,22,2025-07-26T00:00:00,2026-01-05T00:00:00
5567,21,2025-12-31T00:00:00,2026-01-19T00:00:00
5525,21,2025-11-04T00:00:00,2025-11-20T00:00:00
5171,20,2025-07-18T00:00:00,2025-10-31T00:00:00
5089,20,2025-08-05T00:00:00,2025-10-29T00:00:00
5451,20,2025-10-11T00:00:00,2026-04-17T00:00:00
5090,20,2025-08-05T00:00:00,2026-05-14T00:00:00
5121,20,2025-08-16T00:00:00,2026-01-05T00:00:00
5188,20,2025-07-14T00:00:00,2025-12-15T00:00:00
5207,20,2025-09-02T00:00:00,2025-12-03T00:00:00
5550,19,2025-11-05T00:00:00,2025-12-09T00:00:00
5441,19,2025-10-09T00:00:00,2026-03-09T00:00:00
5081,18,2025-07-31T00:00:00,2026-01-02T00:00:00
5575,18,2025-08-26T00:00:00,2026-01-19T00:00:00
5257,18,2025-09-11T00:00:00,2026-05-14T00:00:00
5083,18,2025-08-02T00:00:00,2026-04-20T00:00:00
5427,17,2025-09-25T00:00:00,2025-12-02T00:00:00
5337,17,2025-07-05T00:00:00,2025-10-03T00:00:00
5365,16,2025-09-29T00:00:00,2025-10-15T00:00:00
5560,16,2025-12-29T00:00:00,2026-04-27T00:00:00
5176,16,2025-07-02T00:00:00,2026-03-05T00:00:00
5137,16,2025-08-20T00:00:00,2026-03-07T00:00:00
5430,16,2025-10-08T00:00:00,2026-02-05T00:00:00
5136,16,2025-08-20T00:00:00,2025-12-03T00:00:00
5593,15,2026-01-20T00:00:00,2026-04-27T00:00:00
5251,14,2025-08-25T00:00:00,2026-02-25T00:00:00
5412,14,2025-10-07T00:00:00,2026-05-13T00:00:00
5272,14,2025-09-15T00:00:00,2025-10-06T00:00:00
5281,14,2025-09-16T00:00:00,2026-03-02T00:00:00
5112,14,2025-08-13T00:00:00,2025-11-20T00:00:00
5256,14,2025-09-11T00:00:00,2026-04-18T00:00:00
5144,14,2025-08-20T00:00:00,2026-03-12T00:00:00
5346,14,2025-09-25T00:00:00,2025-11-18T00:00:00
5274,14,2025-09-15T00:00:00,2026-05-11T00:00:00
5082,14,2025-08-01T00:00:00,2025-11-22T00:00:00
5288,14,2025-08-05T00:00:00,2025-12-11T00:00:00
5085,14,2025-08-04T00:00:00,2026-04-11T00:00:00
5093,13,2025-07-28T00:00:00,2026-03-27T00:00:00
5280,12,2025-09-16T00:00:00,2025-10-04T00:00:00
5305,12,2025-07-10T00:00:00,2025-10-15T00:00:00
5094,12,2025-08-06T00:00:00,2026-01-02T00:00:00
5476,12,2025-10-24T00:00:00,2025-10-27T00:00:00
5109,12,2025-08-13T00:00:00,2026-05-15T00:00:00
5074,12,2025-07-28T00:00:00,2026-01-05T00:00:00
5333,12,2025-08-04T00:00:00,2025-10-06T00:00:00
5572,12,2026-01-05T00:00:00,2026-01-19T00:00:00
5184,12,2025-08-29T00:00:00,2026-04-17T00:00:00
5303,12,2025-08-19T00:00:00,2025-09-23T00:00:00
5172,12,2025-08-25T00:00:00,2026-05-15T00:00:00
5128,12,2025-08-18T00:00:00,2026-01-05T00:00:00
5553,12,2025-12-11T00:00:00,2025-12-31T00:00:00
5376,12,2025-09-29T00:00:00,2025-10-01T00:00:00
5360,12,2025-09-27T00:00:00,2025-10-01T00:00:00
5287,11,2025-09-17T00:00:00,2026-02-17T00:00:00
5586,11,2026-01-12T00:00:00,2026-05-18T00:00:00
5332,11,2025-09-24T00:00:00,2026-03-05T00:00:00
5071,11,2025-07-21T00:00:00,2025-07-27T00:00:00
5201,11,2025-09-01T00:00:00,2026-05-15T00:00:00
5592,11,2026-01-20T00:00:00,2026-05-07T00:00:00
5102,11,2025-08-12T00:00:00,2026-03-12T00:00:00
5079,10,2025-07-31T00:00:00,2026-05-18T00:00:00
5149,10,2025-08-21T00:00:00,2026-01-15T00:00:00
5146,10,2025-08-05T00:00:00,2025-10-07T00:00:00
5307,10,2025-07-10T00:00:00,2025-10-22T00:00:00
5437,10,2025-10-08T00:00:00,2026-05-13T00:00:00
5549,10,2025-12-05T00:00:00,2025-12-08T00:00:00
5078,10,2025-07-30T00:00:00,2025-11-14T00:00:00
5189,10,2025-07-03T00:00:00,2025-09-25T00:00:00
5103,10,2025-08-12T00:00:00,2026-03-02T00:00:00
5233,10,2025-09-09T00:00:00,2026-05-12T00:00:00
5158,10,2025-08-22T00:00:00,2026-03-14T00:00:00
5122,10,2025-08-16T00:00:00,2025-08-16T00:00:00
5091,10,2025-08-05T00:00:00,2025-08-06T00:00:00
5246,10,2025-09-10T00:00:00,2026-05-07T00:00:00
5191,10,2025-07-22T00:00:00,2025-11-21T00:00:00
5095,10,2025-07-08T00:00:00,2025-10-23T00:00:00
5177,10,2025-08-28T00:00:00,2025-09-24T00:00:00
5524,10,2025-11-03T00:00:00,2025-11-10T00:00:00
5125,10,2025-08-16T00:00:00,2025-08-30T00:00:00
5076,10,2025-07-28T00:00:00,2025-10-07T00:00:00
5323,10,2025-07-09T00:00:00,2025-10-11T00:00:00
5596,10,2026-01-23T00:00:00,2026-03-02T00:00:00
5564,10,2025-12-30T00:00:00,2026-01-12T00:00:00
5468,10,2025-10-10T00:00:00,2026-05-06T00:00:00
5273,10,2025-09-15T00:00:00,2026-04-28T00:00:00
5123,10,2025-08-16T00:00:00,2025-08-23T00:00:00
5222,10,2025-09-05T00:00:00,2025-09-15T00:00:00
